Admitted Patient Care (APC),"The APC data set includes details of episodes of care where the patient is admitted into hospital, which includes regular day or night attending patients.",,,,,,,,,,,
Field,Field name,Format,HES Legacy Field Status (Y/N),Availability,"Restricted field

Access to restricted fields requires the approval of the Independent Group Advising on the Release of Data (IGARD).",Description,Values, Cleaning,Derivations,Table Name,Field is Null. See 'Known Data Item Issues' ,DQ Issue. See 'Known Data Item Issues' 
NER_RESIDENCE,"Integrated Care Board of Residence  (July 2022 onwards)
Sustainability and Transformation Partnership of Residence (2020 until June 2022)
NHS England Region of Residence (until 2020)",String(8),,2015-16 onwards,,"The code for the most suitable Integrated Care Board (ICB) / STP / NHS England Region (NER) where the patient lives, derived in HES from the patient's postcode (HOMEADD).

Note: ICBs replaced STPs on 1st July 2022. The Organisation Data Serivce (ODS) codes that identified the 42 existing CCGs were retained and applied to the new ICBs.","ann = ICB / STP / NER of residence
Q99 = Wales
S = Scotland
U = no fixed abode
X = Foreign, Isle of Man or Channel Islands
Y = Not known
Z = Northern Ireland",,RULE_1201,AHAS_FLAT.dbo.AHAS_HES_APC,,
NER_TREATMENT,"Integrated Care Board of Treatment  (July 2022 onwards)
Sustainability and Transformation Partnership of Treatment (2020 until June 2022)
NHS England Region of Treatment (until 2020)",String(3),,2015-16 onwards,,"The code for the most suitable Integrated Care Board (ICB) / STP / NHS England Region (NER) where the patient was treated, derived from the CCG of treatment (CCG_TREATMENT). 

Note: ICBs replaced STPs on 1st July 2022. The Organisation Data Serivce (ODS) codes that identified the 42 existing CCGs were retained and applied to the new ICBs.","ann = ICB / STP / NER of treatment
Q99 = Wales
Y = Not known",,RULE_1147,AHAS_FLAT.dbo.AHAS_HES_APC,,
NEWNHSNO,NHS Number,String(10),,1997-98 onwards,Yes,"The NHS number of the patient, which is the primary identifier of a person registered for health care; it is unique. Prior to 2003, records for babies under six weeks of age tend to have this field null.",10n = NHS number,,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
NEWNHSNO_CHECK,NHS Number Check Flag,String(1),,2007-08 onwards,,"Indicates whether the format of the NHS number supplied in the field NEWNHSNO is valid or not. The NHS number is 10 numeric digits in length. The tenth digit is a check digit used to confirm its validity. The check digit is validated using the modulus 11 algorithm.

The format of an NHS number is considered to be valid if it meets the following criteria:   
- it is 10 digits long
- not every digit is the same
- it is not the dummy/default value 2333455667
- it is not in the format N00000000N (where the first and last digits are the same and the rest are zeros)
- the modulus 11 check digit is correct.","Y = The format of the NEWNHSNO is valid
N = The format of the NEWNHSNO is not valid
Null = NEWNHSNO is null",,RULE_9012,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,Y
NHSNOIND,NHS Number Status Indicator,String(2),,2002-03 onwards,,"A code to indicate whether the patient's NHS number is present in the field NEWNHSNO, and if it is verified. If the NHS number is absent, the indicator gives the reason why.","01 = Number present and verified 
02 = Number present but not traced 
03 = Trace required
04 = Trace attempted - No match or multiple match found 
05 = Trace needs to be resolved - (New NHS number or patient detail conflict) 
06 = Trace in progress 
07 = Number not present and trace not required 
08 = Trace postponed (baby under six weeks old)
91 = Anonymised or pseudonymised by SUS",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
NUMACP,Number of Valid Augmented Care Period Groups,Number,Y,1997-98 to 2007-08,,"The number of valid Augmented Care Period (ACP) groups on the episode. A valid ACP group is defined as one that scores an ACPDQIND value of at least 'real', or has at least 3 other ACP fields that contain valid values. If 9 valid ACP groups are found, NUMACP is set to the highest value of ACPN. This is because, for each episode, the HES system holds data for the most recent 9 ACP groups only. 

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.",n = Number of augmented care periods within the episode,,,AHAS_FLAT.dbo.HES_APC_ACP,,
NUMBABY,Number of Babies,String(1),,1989-90 onwards,,"The number of babies delivered at the end of a single pregnancy. Both live and stillborn babies are counted. Until 2002-03, a maximum of 6 babies could be recorded in HES.

This field is submitted by the provider. For delivery episodes only, an alternative derivation can be found in the field NUMTAILB, which counts the number of babies actually populated against the episode. 

This field is populated on delivery and birth episodes and events only (where the EPITYPE is 2,3,5 or 6). ","1 = One  
2 = Two  
3 = Three  
4 = Four  
5 = Five  
6 = Six or more  
9 = Number of registrable births not known 
X = Not known (derived in HES where the field is null)","RULE_0710,
RULE_0750",,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,
NUMPREG,Number of Previous Pregnancies,String(2),,1989-90 onwards,,"The number of previous pregnancies that resulted in a registrable birth (live or still born). 

This field is populated on delivery episodes and events only (where the EPITYPE is 2 or 5).","max 2n = Number of previous pregnancies, from 00 to 19, resulting in a registrable birth  
99 = Not known",RULE_0750,,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,
NUMTAILB,Number of Baby Tails,Number,,2002-03 onwards,,"Delivery episodes are submitted with one group (tail) of data per baby (e.g. with twins, two tails of baby data will be submitted on the record - these tails include fields such as BIRWEIT and DELMETH and each tail of data is specific to one baby). NUMTAILB is derived in HES and represents the number of valid tails of baby data present on the delivery episode. A valid baby tail is defined as one that has a valid birthweight and a valid delivery method. If no valid baby tail is present on the delivery episode, this field defaults to 1. This field is an alternative to the submitted field NUMBABY, and is populated on delivery episodes and events only (where the EPITYPE is 2 or 5).",1n = Number of valid birth tails associated with a delivery record,,RULE_0770,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,
OACODE01,Census Output Area 2001 ,String(10),Y,2003-04 to 2020-21,Yes,"Census output areas are small geographical areas that cover similar population sizes and are as socially homogenous as possible. This derived field represents the 2001 census output area code associated with the patient's postcode (HOMEADD). Note that this field uses old-style codes from the pre-January 2011 ONS geographical coding system. The structure is CCDDWWAAAA, where CC = county, DD = district or unitary authority, WW=ward, and AAAA = output area.","10an = 2001 Census Output Area
Y = not known",RULE_1200,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
OACODE11,Census Output Area 2011 ,String(9),,2013-14 onwards,Yes,Census Output Areas are small geographical areas that cover similar population sizes and are as socially homogenous as possible. This derived field represents the 2011 Census Output Area code associated with the patient's postcode (HOMEADD). Pseudo codes are included for Channel Islands and Isle of Man. The field will otherwise be blank for postcodes with no grid reference.,"9an = 2011 Census Output Area
E00000001 - E00176774 = England;
W00000001 - W00010265 = Wales;
S00088956 - S00135306 = Scotland;
N00000001 - N00004537 = Northern Ireland;
L99999999 (pseudo) = Channel Islands;
M99999999 (pseudo) = Isle of Man;
Y = not known",RULE_1200,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
OACODE6,Census Output Area 2001 (Ward Identifier),String(6),Y,1995-96 to 2020-21,,"The first six-characters from the Census Output Area 2001 (OACODE01) field, which identifies the local government ward of the patient's postcode. The structure is CCDDWW, where CC = county, DD = district or unitary authority, and WW=ward.","6an = 2001 census output area ward identifier code
Y = not known",RULE_1200,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
OPDATE_nn,Date of Procedure,Date(YYYY-MM-DD),,1989-90 onwards,,The date of the procedure recorded in the respectively numbered Procedure Code (OPERTN_nn) field.,"YYYY-MM-DD = Date of procedure
1800-01-01 = Null
1801-01-01 = Invalid date submitted","RULE_0480, 
RULE_0610,
RULE_0620",,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,Y
OPER_SEQ,Procedure Code Sequence,Number,,1989-90 onwards,,"This field is populated in the unpivoted procedures table, and allows users to identify the position of the OPERTN_CODE and OPERTN_DATE on the record",n = Procedure code sequence number,,,AHAS_FLAT.dbo.AHAS_HES_APC_OPER,,
OPERSTAT,Operation Status Code,String(1),Y,2002-03 to 2022-23,,Status of operative procedures,"1 = One or more operative procedures carried out
8 = No operative procedures performed or intended
9 = Not known, i.e. finished episode but no data entered or the episode is unfinished and no data needs to be present (this would only be a validation error for a finished episode).",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
OPERTN_3_CONCAT,Concatenated Procedure Codes - 3 Character,String(100),,1989-90 onwards,,"A concatenated string of all 3 character procedures (OPERTN_3_nn) from the record, separated by commas with no spaces. This enables the user to search across the full list of procedures to look at mentions and pairs of procedure codes.",Concatenated string of OPERTN_3_nn separated by commas,RULE_8100,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
OPERTN_3_nn,Procedure Code - 3 Character,String(3),,1989-90 onwards,,The first three characters of the procedure code (OPERTN_nn).,"3an = Procedure code
- = No operation performed
& = Not known",,,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR, AHAS_FLAT.dbo.AHAS_HES_APC     ",,
OPERTN_4_CONCAT,Concatenated Procedure Codes - 4 Character,String(130),,1989-90 onwards,,"A concatenated string of all 4 character procedures (OPERTN_4_nn) from the record, separated by commas with no spaces. This enables the user to search across the full list of procedures to look at mentions and pairs of procedure codes.",Concatenated string of OPERTN_4_nn separated by commas,RULE_8100,,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR, AHAS_FLAT.dbo.AHAS_HES_APC     ",,
OPERTN_4_nn,Procedure Code - 4 Character,String(4),,1989-90 onwards,,The first four characters of the procedure code (OPERTN_nn).,"4an = Procedure code
- = No operation performed
& = Not known",,,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR, AHAS_FLAT.dbo.AHAS_HES_APC     ",,
OPERTN_CODE,Procedure Code (Unpivoted),String(4),,1989-90 onwards,,"This field is present in the unpivoted procedures table (where all procedure codes from the record appear in a single column rather than over 24 separate columns). The unpivoted table is provided as an alternative to the OPERTN_4_nn  fields for users who wish to carry out their analysis across multiple procedure code fields, e.g. from OPERTN_4_01 to OPERTN_4_24.

This field contains exactly the same data as OPERTN_4_nn. The position of the procedure on the record can be identified using the OPER_SEQ field (e.g. the OPERTN_CODE where OPER_SEQ = 1 will be the same as the code in the field OPERTN_4_01).","4an = Procedure code
- = No operation performed
& = Not known",,,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR, AHAS_FLAT.dbo.AHAS_HES_APC     ",,Y
OPERTN_COUNT,Count of Procedures,Number,,1989-90 onwards,,The total number of procedure codes present on the record (maximum of 24),2n = Count of procedures,RULE_8100,,AHAS_FLAT.dbo.AHAS_HES_APC_OPER,,
OPERTN_DATE,Date of Procedure,Date(YYYY-MM-DD),,1989-90 onwards,,"The date of the procedure recorded in the OPERTN_CODE field. 

This field is present in the unpivoted procedures table (where all procedure dates from the record appear in a single column rather than over 24 separate columns). It contains exactly the same data as OPDATE_nn. The position of the procedure date on the record can be identified using the OPER_SEQ field (e.g. the OPERTN_DATE where OPER_SEQ = 1 will be the same as the code in the field OPDATE_01).","YYYY-MM-DD = Date of procedure
1800-01-01 = Null
1801-01-01 = Invalid date submitted",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
OPERTN_nn,Procedure Code,String(4),,1989-90 onwards,,"There are twenty-four procedure fields (twelve before April 2007), OPERTN_01 to OPERTN_24, which contain information about a patient's procedures. The field OPERTN_01 contains the main (i.e. most resource intensive) procedure. The other fields contain secondary procedures. The codes are defined in the Tabular List of the Classification of Surgical Operations and Procedures. The current version is OPCS-4. Procedure codes start with a letter and are followed by two or three digits. The third digit identifies variations on a main procedure code containing two digits. The third digit is preceded by a full stop in OPCS-4, but this is not stored in this field. A single operation may contain more than one procedure.","4an = Procedure code  
- = No procedures performed  
& = Not known  
X998 = Procedure carried out but no appropriate OPCS-4 code available (submitted value present between 1997-98 and 2005-07)
X999 = No procedure carried out (submitted value present between 1997-98 and 2001-02)","RULE_0450, 
RULE_0540,  RULE_0550, 
RULE_0560,",,AHAS_FLAT.dbo.AHAS_HES_APC_OPER,,
ORGPPPID,"Organisation Identifier (Patient Pathway Identifier Issuer)
",String(3-5) ,,2007-08 onwards,,"The code of the organisation that issued the patient pathway identifier (PATPATHID). Where Choose and Book has been used, the Organisation Code for NHS Connecting For Health (X09) is used.",3an - 5an = Organisation identifier,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
ORGSUP_n,Number of Organ Systems Supported,Number,Y,1997-98 to 2007-08,,"The number of organ support systems used (up to five) during a period of augmented care.

This field will only be populated on records where a period of augmented care occurred. The augmented care period data items in APC were replaced by the Critical Care Minimum Data Set (CCMDS) in 2008-09.","n = Number of organ systems supported in the range 0 to 5
98 = Not applicable: augmented care period not finished
99 = Not known: a validation error",,,AHAS_FLAT.dbo.HES_APC_ACP,,
PARTYEAR,HES Extract Year and Number,Number,,1989-90 onwards,,"The data year (first four digits) and the extract number (final two digits). HES data years span calendar years (they run from 1st April to 31st March). In the PARTYEAR field, the year represents the lower year from the date span, e.g. for 2016-17 the year will appear in this field as 2016 on all records within that data year.

HES extracts are currently taken once per month, with each extract superseding the previous one for that year. For example, a PARTYEAR of 201601 indicates that the data came from the first HES extract to be taken in the 2016-17 data year (April 2016 data only); 201602 is the second extract of 2016-17 (April and May 2016 data only, extracted a month later than the previous extract), etc. 

Where the PARTYEAR ends in 99, this indicates the final HES data set for that year - no further extracts of HES data for that year will be taken, and this data will not change. Where the PARTYEAR does not end in 99, this indicates that the data is provisional and is subject to change with subsequent extracts. Provisional extract numbers generally run from 01 (the first extract of the year) to 13 (the final extract of the year). 99 represents the final data set of the year, which is based on the month 13 extract with additional manual changes made to correct known issues or errors in the data.",YYYYnn = HES year and extract number,,,"AHAS_FLAT.dbo.AHAS_HES_APC_OTR,  AHAS_FLAT.dbo.AHAS_HES_APC_MAT, AHAS_FLAT.dbo.AHAS_HES_APC_OPER,
AHAS_FLAT.dbo.AHAS_HES_APC,      AHAS_FLAT.dbo.AHAS_HES_APC_DIAG, AHAS_FLAT.dbo.AHAS_HES_APC_HIST,       AHAS_FLAT.dbo.HES_APC_ACP ",,
PATPATHID,Patient Pathway Identifier ,String(20),,2007-08 onwards,Yes,"A code that, when combined with the organisation code/organisation identifier of the issuer, identifies a patient pathway. This field is unavailable for use, and is null in all years.

Where a pathway is initiated by a service request using the Choose and Book system, the patient pathway will be uniquely identified by the Unique Booking Reference Number (BOOKREFNO) of the first referral and the organisation code of Choose and Book which is X09.

Where the pathway is initiated by some other method, the patient pathway identifier will be allocated by the Organisation receiving the service request which together with that Organisation's organisation code / organisation identifier will uniquely identify the patient pathway.

This field is not made available in HES due to the risk of restricted or identifiable data being populated in the field",20an = Patient pathway identifier,,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
PBC,Programme Budgeting Category ,String(5),,2008-09 onwards,,"Programme Budgeting Categories are a list of programmes used to influence and track future expenditure. These categories enable the analysis of expenditure on specific disease areas such as cancer, mental health, and circulatory diseases.","0201A = HIV and AIDS
0201X = Infectious diseases
0202A = Cancer, Head and Neck
0202B = Cancer, UGI
0202C = Cancer, LGI
0202D = Cancer, Lung
0202E = Cancer, Skin
0202F = Cancer, Breast
0202G = Cancer, Gynaecological
0202H = Cancer, Urological
0202I = Cancer, Haematological
0202X = Cancers and Tumours
0203X = Disorders of Blood
0204A = Diabetes
0204B = Endocrine
0204X = Endocrine, Nutritional and Metabolic pro
0205A = Substance Misuse
0205B = Organic Mental Disorders
0205C = Psychotic Disorders
0205D = Child and Adolescent Mental Health Disorders
0205X = Other Mental Health Disorders
0206X = Problems of Learning Disability
0207A = Chronic Pain
0207X = Neurological
0208X = Problems of Vision
0209X = Problems of Hearing
0210A = Coronary Heart Disease
0210B = Cerebrovascular disease
0210C = Problems of Rhythm
0210X = Problems of circulation
0211A = Obstructive Airways Disease
0211B = Asthma
0211X = Problems of the respiratory system
0212X = Dental problems
0213A = Upper GI
0213B = Lower GI
0213C = HepatoBiliary
0213X = Problems of the gastro intestinal system
0214A = Burns
0214X = Problems of the Skin
0215X = Problems of the Musculo skeletal system
0216X = Problems due to Trauma and Injuries
0217A = Genital tract problems
0217B = Renal problems
0217C = STD
0217X = Problems of Genito Urinary system
0218X = Maternity and Reproductive Health
0219X = Conditions of neonates
0220A = Unintended consequences of treatment
0220B = Poisoning
0220C = Violence
0220X = Poisoning and adverse effects
0221A = NSF Prevention programme
0221B = NSF Mental health prevention
0221X = Healthy Individuals
0222X = Social Care Needs
0223X = Other
02U1 = Primary Diagnosis Not Recognised
02U2 = Unclassified",RULE_1220,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,Y,Y
PCFOUND,Postcode Found Flag,String(1),,1989-90 onwards,,A flag to indicate whether the postcode in the field HOMEADD represents a valid registered postcode or not. Pseudo postcodes are counted as valid in this field.,"Y = Valid
N = Invalid or null",RULE_1200,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCGCODE,Primary Care Group ,String(8),Y,1999-00 to 2001-02,,A derived field providing the Primary Care Group responsible for the patient. ,Not available,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCGORIG,Origin of Primary Care Group,String(1),Y,1999-00 to 2001-02,,This derived field indicates the basis on which the Primary Care Group (PCGCODE) code was assigned.,"1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCG code was blank  
6 = POSTCODE allocated code, PCG code was 49998  
9 = PCG code not known",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCON,Westminster Parliamentary Constituency of Residence,String(3),Y,2008-09 to 2020-21,,"For activity from 2011-12 onwards, HES users are advised to use the field PCON_ONS instead of PCON. 

The English Westminster Parliamentary Constituency where the patient resides, derived in HES from the patient's postcode (HOMEADD). Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS - the new-style code can be found in the field PCON_ONS.","3an = English Westminster Parliamentary Constituency
S = Scotland
U = no fixed abode
W = Wales
X = Foreign (includes Channel Islands and Isle of Man)
Y = not known
Z = Northern Ireland",RULE_1200,,AHAS_FLAT.dbo.AHAS_HES_APC,,
PCON_ONS,Westminster Parliamentary Constituency of Residence (ONS),String(9),,2011-12 onwards,,"The English Westminster parliamentary constituency where the patient resides, derived in HES from the patient's postcode (HOMEADD).","9an = English Westminster Parliamentary Constituency
E99999999 = England (not specified)
L99999999 = Channel Islands
M99999999 = Isle of Man
N99999999 = Northern Ireland
S99999999 = Scotland
W99999999 = Wales
U = no fixed abode
X = foreign
Y = not known",RULE_1200,,AHAS_FLAT.dbo.AHAS_HES_APC,,
PCONSULT,Consultant Code (Pseudonymised),String(16),,1997-98 onwards,,A pseudonymised version of the Consultant Code (CONSULT).,"16an = Pseudonymised consultant code  
& = Consultant code is null
99 = Consultant code is invalid",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCTCODE,Primary Care Trust of Responsibility  ,String(6),Y,2006-07 to 2020-21,,"HES users are advised to use the field PCTCODE06 instead of PCTCODE. 

The Primary Care Trust (PCT) responsible for the patient, based on 2006-07 PCT boundaries. The field PCTORIG06 contains a code indicating how this field was derived.

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5nn = PCT 
Taa = Care trust 
59898 = Not applicable
59999 = Unknown",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCTCODE_HIS,Primary Care Trust of Responsibility,String(8),Y,1996-97 to 2020-21 ,,"The Primary Care Trust (PCT) of responsibility dependent on the data year. Where the data year is equal to or later than 2006, this field contains the code from the field PCTCODE06, otherwise it contains the code from the field PCTCODE02.

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5nn = PCT 
Taa = Care trust 
59898 = Not applicable
59999 = Unknown",,RULE_8050,AHAS_FLAT.dbo.AHAS_HES_APC,,
PCTCODE02,Primary Care Trust of Responsibility 2002,String(8),Y,2006-07 to 2012-13,,"The Primary Care Trust (PCT) responsible for the patient, based on 2002-03 PCT boundaries. The field PCTORIG02 contains a code indicating how this field was derived.

The PCT structure used by this field was superseded in 2006 - the code representing the PCTs that were in place after this restructure can be found in the field PCTCODE06.","nan, naa or aaa = PCT
59898 = Not applicable  
59999 = Unknown",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCTCODE06,Primary Care Trust of Responsibility 2006,String(8),Y,2006-07 to 2020-21,,"The Primary Care Trust (PCT) responsible for the patient, based on 2006-07 PCT boundaries. The field PCTORIG06 contains a code indicating how this field was derived.

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5nn = PCT 
Taa = Care trust 
59898 = Not applicable
59999 = Unknown",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCTNHS,Organisation Identifier (Residence Responsibility),String(3-5),,2003-04 onwards,,"The organisation code derived from the patient's postcode, representing one of the following based on the place of residence:  pre-1st April 2013 this should represent a PCT or Health Authority code, from 1st April 2013 onwards this should represent a Clinical Commissioning Group (CCG), Care Trust. Local Health Board (Wales), Scottish Health Board, or Northern Ireland Local Commissioning Group. Note that this field is derived by the provider and not derived in HES. ","3an - 5an = Organisation identifier 
Q99 = Not Known
X98 = Not Applicable (Overseas Visitors)",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCTORIG,Origin of Primary Care Trust of Responsibility,String(1),Y,1997-98 to 2005-06,,The basis on which the code in the field PCTCODE was assigned.,"1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code  
9 = PCT code not known",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCTORIG_HIS ,Origin of Primary Care Trust of Responsibility ,String(1),Y,1996-97 to 2020-21 ,,The basis on which the code in the field PCTCODE_HIS was assigned.,"1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code was 59998  
9 = PCT code not known",,RULE_8050,AHAS_FLAT.dbo.AHAS_HES_APC,,
PCTORIG02,Origin of Primary Care Trust of Responsibility  2002,String(1),Y,2006-07 to 2012-13,,The basis on which the code in the field PCTCODE02 was assigned.,"1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code was 59998  
9 = PCT code not known",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCTORIG06,Origin of Primary Care Trust of Responsibility  2006,String(1),Y,2006-07 to 2020-21,,The basis on which the code in the field PCTCODE06 was assigned.,"1 = GPPRAC was used to derive the code  
2 = REGGMP was used to derive the code  
3 = PURCODE was used to derive the code  
4 = POSTCODE was used to derive the code  
5 = POSTCODE allocated code, PCT code was blank  
6 = POSTCODE allocated code, PCT code was 59998  
9 = PCT code not known",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PCTTREAT,Primary Care Trust of Provider ,String(3),Y,1996-97 to 2020-21,,"The Primary Care Trust (PCT) area of the provider, derived from the provider code (PROCODE). Note that the PCT itself may be the provider of treatment.

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","3an = PCT of provider
59898 = Not applicable
59999 = Unknown",,,AHAS_FLAT.dbo.AHAS_HES_APC,,
PEREND,Cds Report Period End Date ,Date(YYYY-MM-DD),,2003-04 onwards,,"A system field used for the purposes of submitting data to SUS. It defines the end date for the range of data contained within a SUS submission, and is present on records submitted via the Bulk Update Protocol method only.",YYYY-MM-DD = The end date for the range of data contained in the SUS submission,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PERSON_ID,Person Identifier (Clear),String(10),,1997-98 onwards,Yes,"The Master Person Service (MPS) person identifier. This is a unique identifier for each individual patient, generated via the MPS. This identifier replaces the HESID field, and allows an individual’s care to be tracked across years and continuous periods to be identified.

A tokenised version of this field can be found in the field TOKEN_PERSON_ID.",max 10an = Person identifier,,,AHAS_FLAT_S.dbo.AHAS_HES_APC,,
PERSTART,Cds Report Period Start Date,Date(YYYY-MM-DD),,2003-04 onwards,,"A system field used for the purposes of submitting data to SUS. It defines the start date for the range of data contained within a SUS submission, and is present on records submitted via the Bulk Update Protocol method only.",YYYY-MM-DD  = The start date for the range of data contained in the SUS submission,,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PGPPRAC,Pseudonymised Code of GP Practice,String(16),,1997-98 onwards,,A pseudonymised version of the GP Practice Code (GPPRAC).,"16an = Pseudonymised GP practice code
& = Unknown",,RULE_9009,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
POSOPDUR,Post-Operative Duration ,Number,,1989-90 onwards,,The difference in days between the date of the main procedure (OPDATE_01) and the Episode End Date (EPIEND).,"1n to 5n = Number of days between the main procedure and the end of the episode
Null = Not applicable: no procedure or episode is unfinished",,RULE_1070,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
POSTDIST,Postcode District,String(4),,1989-90 onwards,,"The outward portion of the patient's postcode (i.e. all characters to the left of the space). The code ZZ99 indicates the postcode was either unavailable, or that the patient did not have one (e.g. because they were normally resident abroad).","an, aan, ann, or aann = Postcode district 
ZZ99 = Unavailable / not applicable",,RULE_9004,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,Y
POSTDUR,Postnatal Stay,Number,,1989-90 onwards,,"On delivery and birth episodes only (where EPITYPE is 2 or 3), this derived field calculates the number of days between the baby's birth and the end of the finished episode. It is calculated from the Episode End Date (EPIEND) and the baby's Date of Birth (DOBBABY on delivery records, DOB on birth records). ","3n = The number of days of stay, from 0 to 270  
Null = Not applicable / not known",,RULE_0820,AHAS_FLAT.dbo.AHAS_HES_APC_MAT,,Y
PREFERER,Referrer Code (Pseudonymised),String(16),,1989-90 onwards,,A pseudonymised version of the Referrer Code (REFERRER).,"16an = Pseudonymised referrer code  
& = Referrer code is null
99 = Referrer code is invalid",RULE_9008,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PREGGMP,Registered or Referring GP (Pseudonymised),String(16),,1997-98 onwards,,A pseudonymised version of the Registered or Referring GP (REGGMP) field.,"16an = pseudonymised registered or referring GP code 
& = registered or referring GP code is null
99 = registered or referring GP code is invalid",RULE_9008,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PREOPDUR,Pre-Operative Duration,Number,,1989-90 onwards,,This derived field contains the difference in days between the Episode Start Date (EPISTART) and the date of the main procedure (OPDATE_01).,"3n = Number of days between the start of the episode and the main procedure from 0-365
Null = Not applicable: no operation or procedure unfinished",,RULE_1075,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
PRIMERCP,CDS Prime Recipient Identity,String(12),,2003-04 onwards,,A system field representing the code of the organisation determined to be the Commissioning Data Set Prime Recipient of the Commissioning Data Set Message as indicated in the Commissioning Data Set Addressing Grid.,"3an or 5an = Prime recipient organisation identifier
Q99 = Not known
X98 = Not applicable",,,AHAS_FLAT.dbo.AHAS_HES_APC_OTR,,
